"crime, law and justice","arts, culture, entertainment and media","economy, business and finance","disaster, accident and emergency incident",environment,education,health,human interest,lifestyle and leisure,politics,labour,religion and belief,science and technology,society,sport,"conflict, war and peace",weather
law,entertain,compani,fire,climat,educ,health,plant,game,polit,job,religi,scienc,immigr,sport,protest,weather
polic,cultur,economi,emerg,environment,school,hospit,ceremoni,garden,trump,retir,church,research,fan,stadium,war,storm
murder,tradit,market,crash,pollut,student,diseas,award,exercis,govern,employe,muslim,clinic,school,gym,coup,flood
sentenc,movi,econom,incid,spill,parent,medic,birthday,tattoo,polici,work,mosqu,math,peopl,footbal,terror,rain
court,th,custom,disast,environ,univers,treatment,celebr,workout,elect,labour,christian,said,wed,player,terrorist,met
justic,news,product,accid,forest,learn,patient,dog,said,religi,union,educ,use,trump,athlet,attack,forecast
investig,art,stock,also,wildlif,build,nhs,anniversari,fit,right,wage,religion,space,chariti,leagu,syrian,wind
crime,museum,growth,wildfir,insect,cours,virus,day,gym,googl,worker,jewish,scientif,addict,muscl,militari,across
offic,film,ceo,damag,speci,teacher,care,pet,you,worker,employ,pope,educ,societi,bodybuild,unrest,temperatur
innoc,game,show,road,emiss,said,healthcar,garden,classic,vote,unemploy,islam,test,refuge,championship,peac,warn
